timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];speed estimate [deg/s];speed estimate hall [deg/s];acc estimate [deg/s^2];acc estimate hall [deg/s^2];hall_voltage [V];est angle hall [deg];filtered hall speed [deg/s];filtered hall acc [deg/s^2];cutoff freq [Hz];stiffness [N.m/deg];damping [N.m/deg];rest position [deg];ref_pos [deg];k_p;k_i;k_d;set PID 0/1;start dry test 0/1;friction torque [N.m];Dry friction compensation;Viscous friction compensation;Gravity compensation;Virtual wall;Virtual wall automatic;Wall stiffness [N.m/deg];Wall damping [N.m/deg/s];zero_cross_count;Wall filter [Hz];set EMG torque;set EMG position;EMG value [V];Filtered EMG value [V];EMG time threshold [us];EMG diff [V];EMG min [V];EMG max [V];EMG offset [V];EMG window;EMG mean [V];EMG precise;EMG hold active;EMG hold value [V];EMG hold thres [V];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
125.73855;-0.004003158771;0;350;0.001229869435;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.00322986953;0;0;0;0.001000000047;1;0;0;0
125.7396;-0.004003158771;0;350;0.001237845747;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003237845842;0;0;0;0.001000000047;1;0;0;0
125.74065;-0.004003158771;0;350;0.001244884916;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003244885011;0;0;0;0.001000000047;1;0;0;0
125.7417;-0.004003158771;0;350;0.001246817876;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003246817971;0;0;0;0.001000000047;1;0;0;0
125.7424;-0.004003158771;0;350;0.001241392223;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003241392318;0;0;0;0.001000000047;1;0;0;0
125.74345;-0.004003158771;0;350;0.001221078215;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.00322107831;0;0;0;0.001000000047;1;0;0;0
125.7445;-0.004003158771;0;350;0.001189534552;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003189534647;0;0;0;0.001000000047;1;0;0;0
125.74555;-0.004003158771;0;350;0.001149950316;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003149950411;0;0;0;0.001000000047;1;0;0;0
125.7466;-0.004003158771;0;350;0.001110490644;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003110490739;0;0;0;0.001000000047;1;0;0;0
125.74765;-0.004003158771;0;350;0.001075821929;32.34960938;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;1;0;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.003075822024;0;0;0;0.001000000047;1;0;0;0
